dbn,category,open_year,borough,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,overview,address,website,activities,sports,postcode,lat,lon,diversity_index,number_of_activities,number_of_sports,student_trust_score,crime_rate,avg_rent_per_sqft,rent_level
02M280,High school,2014,Manhattan,Chinatown,M,2,Manhattan Early College School for Advertising,2018,416,53.40000000000001,46.6,9.9,36.1,45.0,3.8,5.3,19.2,3.8,73.1,167.0,89.43,10.57,0.0,168.0,96.43,2.38,"Through close partnerships with the Borough of Manhattan Community College (BMCC) and with the advertising and media industry, our school prepares students for success at four-year colleges and competitive careers. Students have the option to remain at our school for up to six years and can earn an associate degree at no cost in addition to their CTE-endorsed high school Regents diploma. In the first four years, students participate in job shadowing, field trips, training seminars, and summer internships. All of our community members are accountable for our five pillars: Scholarship, Creativity, Character, Responsibility, and Empathy. Students are held to high standards and expected to participate in the development of our community.",411 Pearl Street,meca-nyc.org,"Advertising Competition, Advertising Industry Council, Art Club, Brotherhood, Dance, Drama, Film Making, MECA-Zine, Music, Saturday Academy, Sorority, Student Government, Technology Club",Soccer,10038,40.711441,-74.000851,65.3125,13,1,7.46,116.1780589202105,35.376666666666665,3.0
02M282,High school,2014,Manhattan,Chinatown,M,2,Urban Assembly Maker Academy,2018,390,30.3,69.7,8.2,27.399999999999995,49.2,4.4,10.8,19.5,3.8,77.7,166.0,89.23,10.77,0.0,188.0,86.7,5.32,"UA Maker prepares students to find and solve challenges and create positive change. You will take risks and develop resilience to tackle new ideas with excitement and creativity. Our school uses design thinking and mastery-based grading to support all students for college and career success. As a student at UA Maker, you will explore the design industry through both academic programs and work-based internships. You will use a laptop to support your studies in school and at home as you develop the technology skills essential to a 21st century world. Your classes will challenge you to explore new ideas and technologies. UA Maker is a community of learners dedicated to growth mindset, self-awareness, and mastery.",411 Pearl Street,uamaker.nyc,"After-School Tutoring, Dance Club, Drumming Club, Fencing, Gaming and Anime Club, Gay-Straight Alliance, Graphic Design, Lacrosse (Pending PSAL Approval), Mock Trial, Music Unites: Ableton; SAT Prep, SHOREline Project, Sign Language Club, Student Government, Volunteering at Two Bridges; If you are interested in starting a club that we do not have yet, you need 10 interested students, a teacher who will agree to moderate, and approval of the principal.","Intramural basketball, Intramural Soccer",10038,40.711441,-74.000851,66.2536,17,2,8.58,116.1780589202105,35.376666666666665,3.0
02M288,High school,2004,Manhattan,Clinton,M,2,Food and Finance High School,2018,375,57.60000000000001,42.4,5.6,34.7,53.1,4.0,2.7,20.0,3.2,82.7,167.0,87.87,11.86,0.0,432.0,89.58,5.09,"We offer an academically challenging CTE program focusing on the culinary arts and finance. Since we believe that food is fundamental to personal, social, economic, and ecological health, the themes of food and finance are integrated into our curriculum and school environment. Cornell University Extension, our lead partner, brings expertise in science, sustainable food production, nutrition, and other topics. Students develop critical thinking skills while engaged in projects, internships, and entrepreneurial ventures. In addition to the state endorsed CTE diploma, students are expected to take a series of industry-recognized certification examinations.",525 West 50th Street,foodfinancehs.org,"4-H, Anime, Arts, Baking, Cornell Nutrition, Drama; Educated and Aware Teens Who Inspire Smart Eating (EATWISE), Entrepreneurship, Guitar Club, National Honor Society, Peer Mediation/Conflict Resolution, Poetry, ProStart, Saturday Academy, Scholarship, School Newsletter, Step Dance, Student Government, Technology, Weekly Celebrity Visiting Chef Program, Weight Training, Yearbook, Youth Leadership, Youth-Run Entrepreneurship",Not specified,10019,,,59.2165,23,0,5.780000000000001,116.1780589202105,34.01026041666667,3.0
02M294,High school,2004,Manhattan,Chinatown,M,2,Essex Street Academy,2018,339,56.3,43.7,6.5,34.5,42.8,6.2,10.0,26.8,3.5000000000000004,67.6,168.0,88.79,11.21,0.0,407.0,86.73,6.63,"At Essex Street Academy, students learn to be critical, creative thinkers in a diverse and supportive school community. Graduates demonstrate mastery of skills and content in each discipline by completing in-depth, inquiry-based projects. Through small classes and advisories, teachers get to know their students as individuals while nurturing their intellectual curiosity and emotional development. Students are encouraged to explore opportunities outside the classroom through partnerships with local universities, professional internships, international study, and outdoor leadership programs; and to become active members of their community both inside and outside of school.",350 Grand Street,essexstreetacademy.org,"Academic Tutoring, Big Sibs Peer Mentoring, Community Service, Feminist Club, French Ambassadors, Gay-Straight Alliance, Global Kids, Mock Trial, Outward Bound, Student Council, Student Newspaper, Theater, Town Meeting, Video Game Club, Williams Capital Group Mentoring Program, Yearbook, Yoga, Young Voices/Big Sounds","Boys Intramural Basketball Team, Cheerleading Team, Step Team",10002,40.717329,-73.989329,67.97219999999999,18,3,8.64,116.1780589202105,30.037656249999998,3.0
02M296,High school,2004,Manhattan,Clinton,M,2,High School of Hospitality Management,2018,380,66.3,33.7,5.0,27.6,62.1,3.4000000000000004,1.8000000000000005,25.8,9.2,90.0,168.0,84.2,15.53,0.0,425.0,81.41,9.41,"The High School of Hospitality Management (HSHM) is a New York City public high school established in 2004. HSHM is located in the heart of the resurgent Clinton area of Manhattan, where there is the highest concentration of hotel and hospitality establishments in New York City. We provide traditional academic courses as well as career and technical courses. The curriculum enables students to develop problem-solving skills that prepare them for post-secondary education, as well as exciting careers in hospitality management and the culinary arts. Our professional staff, parents, and students are equal stakeholders in the creation of an invigorating and supportive learning environment.",525 West 50th Street,schools.nyc.gov/SchoolPortals/02/M296,"Extracurricular-Aquaponics/Hydroponics Program, College Readiness Mentors, Culinary Arts, Digital Learning, National Honor Society, NY Explores; Clubs-Chess, Dance, Graphic Arts, Guitar, Google Tech, Reading Club, Video Gaming, Running Club, Robotics, Yearbook","Flag Football, Intramural Basketball, Squash, Weight Lifting",10019,,,53.4203,15,4,7.6,116.1780589202105,34.01026041666667,3.0
02M298,High school,2004,Manhattan,Chinatown,M,2,Pace High School,2018,572,56.60000000000001,43.4,4.5,33.4,54.2,4.0,3.8,18.4,3.0,78.0,167.0,87.03,12.79,0.0,508.0,90.16,4.53,"PACE High School creates a college-oriented, student-centered environment with high expectations for every student. Students create a resume of quality educational experiences that will prepare them for success in college and beyond. Students are known well through our advisory program and are appreciated for their unique talents and contributions to our learning community. Our curriculum and practices are tailored to the individual needs of our students, enabling them to reach their ambitious goals. Working in close collaboration with Pace University, our school shares the extensive resources of the university, with access to classes, libraries, computer labs, and recreational facilities.",100 Hester Street,schools.nyc.gov/SchoolPortals/02/M298,"Anime/Video Game, Art in NYC, Bollywood Dance, Caribbean Dance, Cheerleading, Chess, Choir, Drama, Envirothon, Expositions, Gay Straight Alliance, Hip-Hop, Homework Help, Latin Dance, Literary Magazine, Math Zone, Mentorships, National Honor Society, Poetry, SAT Prep, Science, Step, Student Government, Student Publications, Tutoring, Wellness Center, Yearbook, YMCA","Badminton, Handball, Independent Soccer League",10002,40.716231,-73.993607,58.9611,28,3,6.44,116.1780589202105,30.037656249999998,3.0
02M300,High school,2004,Manhattan,Clinton,M,2,"Urban Assembly School of Design and Construction,",2018,302,29.8,70.2,5.6,22.8,67.9,1.0,2.6,25.8,11.6,79.8,166.0,81.63,18.37,0.0,431.0,72.62,16.24,"The Urban Assembly School of Design and Construction (SDC) prepares students for college and beyond through a challenging academic program with an emphasis on architecture, engineering, and design. Students take a biweekly design seminar and visit architectural sites throughout New York City. SDC is committed to involving students and families along the path to college through a challenging academic program, frequent communication, college advisory, and extracurricular activities. These elements, in addition to our design program, create a supportive and challenging educational environment.",525 West 50th Street,uasdc.org,Not specified,"Boys Basketball, Flag Football, Girls Softball, Girls Soccer, Running",10019,,,48.30629999999999,0,5,7.42,116.1780589202105,34.01026041666667,3.0
02M303,High school,2005,Manhattan,Clinton,M,2,"Facing History School, The",2018,372,46.8,53.2,1.1,25.5,69.9,1.3,2.2,24.7,11.0,79.0,168.0,80.17,19.55,0.0,466.0,72.32,18.24,"Our school graduates lifelong learners who are leaders in their communities. We are a small school with teachers who care deeply for our students and work their hardest to nurture them for the opportunities that await them after graduation. We prepare our students academically, socially, and emotionally through project based learning, art integration with studio classes, a College 101 course, and a four-year advisory program. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to join a dynamic learning community, to think deeply about yesterday, today, and tomorrow, and to envision how to make a positive difference in the world.",525 West 50th Street,facinghistoryschool.org,"After-School Tutoring, Art Crew, Audio, Cheerleading, Chess, Community Service, Conflict Resolution, Dance, Drumming, Finance, Gay-Straight Alliance, HUSO, Photography, Poetry, School Government, Tech Crew, Unity (Girls Club), Visual Arts; Additional clubs are created based on student interest.",Activities to be formed based on student interest,10019,,,44.55999999999999,18,1,8.88,116.1780589202105,34.01026041666667,3.0
02M305,High school,2005,Manhattan,Chinatown,M,2,"Urban Assembly Academy of Government and Law, The",2018,324,58.3,41.7,5.9,33.6,56.49999999999999,0.9000000000000001,3.1,19.8,4.0,82.7,167.0,85.3,14.7,0.0,316.0,85.13,10.44,"At The Urban Assembly Academy of Government and Law (AGL), we are preparing students to be successful in life beyond high school. As a college and career readiness high school, and a school that promotes social justice, we are committed to ensuring that all students are matched with a post-graduation opportunity. Through our law and government theme, we provide students with real-life and hands-on experiences such as participating in moot court, mock trial, and community service activities that will equip them with the academic and social skills needed for their next step in life. At AGL, we are planting the seeds for future success.",350 Grand Street,uaagl.org,"AGL Eagle Event Days, Art, Basketball, Breedy Buck Event Days, Cheerleading, Flag Football, Law Team, Mentoring, Music, Senior Committee, Soccer, Student Government, Tutoring, Weight Room","AGL Intramural Basketball, Cheerleading, Soccer",10002,40.717329,-73.989329,56.33560000000001,14,3,7.78,116.1780589202105,30.037656249999998,3.0
02M308,High school,2005,Manhattan,Chinatown,M,2,Lower Manhattan Arts Academy,2018,290,64.8,35.2,8.6,27.6,55.89999999999999,5.2,2.8,36.6,6.9,75.2,170.0,86.51,12.46,0.69,378.0,82.01,7.14,"LoMA is a small, multicultural school that focuses on academic excellence through the arts. We support each student's intellectual, emotional, and cultural growth with the goal of success in a four-year college or career. Our students take additional math, science, reading, internship, and arts classes. Students work with artists during academic classes to create high-quality, standards-based learning performances. We partner with many Lower East Side arts organizations so that every student takes part in an extended-day program at least twice a week. To support our students' success at meeting these higher standards, we maintain an intimate, nurturing community with a large number of adults watching over and taking care of our students.",350 Grand Street,lomanyc.net,"LoMA students are required to participate in two days of extracurricular activities or tutoring a week: After-School of Rock/Pop/Rap, Cheerleading, Chorus, LoMA Dance, LoMA Theatre Ensemble, LoMA Cares Volunteer Group, Student Council, Step-Up Mentoring, Swimming, Theater Tech and Stage Crew, Weight Room, Yoga","Intramural Sports: Basketball, Soccer, Swimming",10002,40.717329,-73.989329,60.04590000000001,12,3,5.24,116.1780589202105,30.037656249999998,3.0
02M316,High school,2005,Manhattan,Lower Manhattan,M,2,"Urban Assembly School of Business for Young Women,",2018,179,100.0,0.0,5.0,49.2,36.9,5.6,3.4000000000000004,16.8,7.3,84.4,167.0,81.01,18.44,0.0,308.0,75.97,13.64,"The Urban Assembly School of Business for Young Women (UASBYW) offers an enriching, comprehensive educational model centered on academic excellence, cultural diversity and creative energy. Our small-school environment provides students with a strong sense of community and school spirit, and allows for maximum individualized support from teachers and staff. UASBYW's focus on business allows for specialized programming devoted to college preparation, career exploration, and women's empowerment and leadership training. We partner with groups like Women's Bond Club to offer guest speaker events, career days, and structured mentoring programs. Each year, UASBYW sends graduates to top colleges in New York City and across the nation.",26 Broadway,schools.nyc.gov/SchoolPortals/02/M316,"Anima, Arts and Crafts, ARISTA National Honor Society, Business Trips, Community Service, Cooking, Goldman Sachs: Girls Who Code, New York Peace Institute: Restorative Justice; Newspaper, Power Luncheons, Prism Club, PSAT and SAT Preparation, Spoken Word, Student Government, Tribeca Film, Ukulele, Yearbook, Yoga","Basketball, Volleyball",10004,40.705688,-74.01330300000002,61.49830000000001,17,2,7.62,116.1780589202105,14.65,1.0
02M374,High school,2008,Manhattan,Gramercy,M,2,Gramercy Arts High School,2018,468,70.7,29.3,4.3,33.5,49.6,6.2,6.4,16.9,2.1,79.1,167.0,83.99,15.57,0.22,576.0,81.6,3.47,"Gramercy Arts is a dual-mission high school that offers a balanced education experience that includes a rigorous, challenging college preparatory program and four-year study in the arts. All ninth grade students will be programmed for a college readiness advisory and are encouraged to pursue Advanced Placement courses during their four year study. Our Studios include a four-year study in Visual/Fine Arts and Theater.",40 Irving Place,gramercyhs.org,"Anime Club, Arts Shows, Dance Club, Gay-Straight Alliance, Mock Trial, Model UN, National Honor Society, Poetry Club, SAT Prep, School Newspaper, Strategy Club, Student Government, Vineyard Theater, Yearbook",Not specified,10003,40.735361,-73.987064,63.19699999999999,14,0,5.56,116.1780589202105,45.66458333333333,3.0
02M376,High school,2008,Manhattan,SoHo-Tribeca,M,2,NYC iSchool,2018,466,54.1,45.9,8.4,14.800000000000002,21.2,9.9,45.7,16.1,1.1,34.1,167.0,94.79,4.99,0.0,541.0,98.34,0.74,"NYC iSchool is dedicated to equipping students with the skills necessary for success and leadership in the 21st century. The iSchool program is designed to offer students opportunities to engage in meaningful work that has relevance to them and the world, with the choice and responsibility to determine their high school experience, and unique structures to support their development.",131 Avenue Of The Americas,nycischool.org,"Black Student Union, Chess Club, Coding Club, College Peer Leaders, Creative Writing, Gender Sexuality Alliance, iCare Community Service, iNews, Jazz Band, Model UN, Natural Hair Club, Rock Band, Science Fiction Club, Social Activism Club; iSchool clubs are student-driven and clubs are created yearly, based on student interest",Not specified,10013,40.72463,-74.00505799999998,70.7446,15,0,8.6,116.1780589202105,27.43321428571429,2.0
02M392,High school,2009,Manhattan,Chelsea-Union Sq,M,2,MANHATTAN BUSINESS ACADEMY,2018,414,45.7,54.29999999999999,6.3,22.2,65.0,1.7000000000000002,4.8,21.0,6.3,87.0,167.0,84.95,14.81,0.0,492.0,86.99,7.52,"Manhattan Business Academy is a small college preparatory high school located in the Chelsea neighborhood of Manhattan. We have an innovative, engaging, and rigorous curriculum that makes learning enjoyable and applicable to real life. We also pride ourselves in our nurturing environment, with a tight-knit community and a strong advisory program. At MBA, every student is cared for and known well by everybody making them even more successful. We have many connections with prestigious businesses and organizations for internships and pre-college programs. Culminating in their senior year, students get the opportunity to compete with schools all over the world in business competitions.",351 West 18th Street,manhattanbusinessacademy.org,"Burton Chill Programs: Anime, Art, Business Club, Dance Team, Drama, Guitar Club, Hudson Sailing (students earn math credit to build a boat and physical education credit to sail it on the Hudson river), National Honor Society, Snowboarding (Winter) and Surfing (Summer); Enrichment Saturday programs with Sponsors for Educational Opportunities (SEO) and Minds Matter; Internship opportunities through partnerships with Futures & Options and Pencil Fellows Programs","Intramural Basketball, Cheerleading",10011,40.7434,-74.00254,52.1654,9,2,7.279999999999999,116.1780589202105,45.59015740740741,3.0
