dbn,category,open_year,borough,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,mean_score_math,mean_score_ela,overview,address,website,schoolday_duration,uniform,extendedday,summersession,weekendprogram,electiveclasses,activities,othersports,postcode,lat,lon,pupil_teacher_ratio
02M114,Junior High-Intermediate-Middle,1999,Manhattan,Upper East Side,M,2,East Side Middle School,2018,451,57.4,42.6,14.000000000000002,2.9,11.8,7.3,64.1,16.6,0.0,16.2,178.0,97.34,2.44,0.0,289.29999999999995,284.7,"East Side Middle is an academically successful, nurturing community. Our teachers help our students better understand the world in which they live so they can act upon that knowledge to make that world a better place. Our students learn to think as professional writers and read as literary critics and editors; they learn to study the past as historians and the natural world as scientists. Teachers and staff know students individually and address their specific needs in all grades. In their advisory classes, sixth graders are prepared for their middle school experience in such areas as time management, emotional literacy, and organizational skills. Parents appreciate our staff's in-depth knowledge of individual students, as well as the personalized attention students receive. Families appreciate the accessibility of the administration and instructional staff and the sense of community that defines the school culture. We are fortunate to have an involved and responsive parent community.","331 East 91st Street, Manhattan NY 10128",esms.org,9am-3:20pm,No,Yes,No,No,"For electives students can chose amongst a wide variety of academic, arts, cultural, and athletic eight-week courses. Sixth grade advisory includes: Anti-Bullying, Cursive, Diversity Education, Resiliency Education, Time Management; Intensive classes in the sixth and seventh grade include: Anti-Bullying, Art History, Ballroom Dancing, Financial Literacy, Literature, Math/Math Technology, Resiliency, Sex Ed",Anti-Bias Committee ; Anti-Hunger Committee ; Book Buddies with Neighboring Elementary Schools ; Debate Team ; Gay-Straight Alliance ; Glee Club ; Graphic Novel Studies ; Math Counts/Competitive Math Team ; Model UN ; Physical Fitness ; Robotics ; Rocket Club (Engineering) ; Skype and Pen Pals with Kenya ; Team Sports ,"Baseball, Basketball, Frisbee, Softball, Volleyball",10128.0,40.780706,-73.948553,15.6
02M126,K-8,1966,Manhattan,Chinatown,M,2,P.S. 126 Jacob August Riis,2018,712,47.5,52.5,64.3,8.7,17.1,3.2,6.6000000000000005,20.8,14.7,76.4,178.0,96.77,3.09,0.0,254.6,244.85,"While at P.S. 126/MAT, students will engage in a creative and rigorous curriculum that is geared toward fostering collaboration, inquiry, research, public speaking, and overall social-emotional development. Students will interact and incorporate technology in all of the core classes, with opportunities to learn coding, animation, and robotics. In eighth grade, all of our students will be offered the course work necessary to take the Earth Science and Algebra I Regents exams as well as the Spanish Proficiency exam. Our elective program allows students to major in fine arts, percussion, or band, providing students the necessary skills and preparation for high school auditions. Additionally, we have an extensive competitive sports program that offers 23 different sports for both male and female students.","80 Catherine Street, Manhattan NY 10038",ps126mat.com,8:20am-2:39pm,No,Yes,No,No,"Art, Band, Math Exploration, Percussion, Physical Education, Technology",Art ; Band ; Cycling Club ; Fitness Club ; Math Club ; Ping Pong ; Robotics ; Robotics Club ; Rock Climbing ; Rock Shop ; Specialized High Schools Admissions Test (SHSAT) Preparation ; Yearbook Club,"Boys and Girls Basketball, Flag Football, Girls Volleyball, Girls Softball",10038.0,40.710729,-73.99663100000001,13.3
02M131,Junior High-Intermediate-Middle,1983,Manhattan,Chinatown,M,2,M.S. 131,2018,401,39.7,60.3,79.8,6.5,11.2,0.7,1.7000000000000002,24.7,25.2,89.0,178.0,97.26,2.49,0.0,239.64999999999998,214.1,"M.S. 131 is a vibrant school community where all students are valued as individuals with many talents and expertises. Students are challenged in many ways. Throughout their middle school journey, students are encouraged to develop their voices in academics and through participation in school events and activities. Students are well supported by the teachers and administration in all areas. We use research-based best practices to ensure that all students achieve their best. Parents feel welcomed by a school that responds to their concerns and needs. We also offer a unique three-year arts program where students major in one of three areas: Visual Art, Dance, and Instrumental Music. We offer Mandarin Chinese as a foreign language, and our dual language program (English/Mandarin) will expand in all three grade levels in 2017-18 school year. Students enrolling in this dual language program will develop their language proficiency in both of these languages by the end of eighth grade.","100 Hester Street, Manhattan NY 10002",ms131.org,8:20am-2:40pm,No,Yes–After-School,No,No,"Advanced Seventh Grade Math, Algebra 1, Chinese (Foreign Language in Grade 8), Dance, Instrumental Music, Visual Art",Art Club ; Chess ; Chinatown History Club ; Computerizing ; Dance Club ; Electric Bass Band ; Homework Help ; Math Team ; Model Making ; Peer Mediation ; School Morning Newspaper ; SHSAT Prep ; Student Council ; Urban Advantage Science Program ; Yearbook Club,"Baseball, Flag Football, Intramural Basketball, Table Tennis, Track, Volleyball",10002.0,40.716553000000005,-73.993092,12.1
02M167,Junior High-Intermediate-Middle,1956,Manhattan,Upper East Side,M,2,J.H.S. 167 Robert F. Wagner,2018,1379,45.2,54.79999999999999,18.2,6.800000000000001,16.4,5.4,53.2,17.3,3.0,30.4,177.0,95.87,4.06,0.0,263.29999999999995,261.79999999999995,"Students appreciate that they are challenged academically in an environment where teachers take the time to get to know them personally. They also like all the opportunities that are available to them in a big school setting including our extensive after-school, band, and sports programs. Parents appreciate the diverse student population and dedicated staff, and they also value the accessibility of the administrators and teachers. Students and families work closely with their grade level assistant principal and guidance counselor. In addition to a strong core curriculum, Wagner has one of the largest music programs in the city, providing approximately 500 students with instrumental courses. We are fortunate to have a very involved and active Parents' Association.","220 East 76th Street, Manhattan NY 10021",wagner167.org,8:55am-3:15pm,No,Yes,No,No,"Band, Drama, Technology, Visual Arts",Art Club ; Band Enrichment ; Biology and Dissection ; Chess Team ; Chorus ; Coding ; Dance Club ; Debate Team ; Drama Club ; Gardening ; Homework Help ; Jazz Band ; Mad Scientists Club ; Math Team ; National Junior Honor Society ; Peer Mediation ; Recreational Basketball ; Road Runners ; Robotics ; Science and Engineering ; Service Learning ; Spanish Club ; Spin ; Yearbook,"Baseball, Basketball, Cheerleading, Cross Country, Flag Football, Ping Pong, Rugby, Soccer, Softball, Tennis, Track, Volleyball, Wrestling",10021.0,40.77205,-73.958066,15.9
02M177,Junior High-Intermediate-Middle,2014,Manhattan,Upper East Side,M,2,Yorkville East Middle School,2018,230,51.7,48.3,6.5,8.7,23.0,3.9,57.8,25.7,1.3,30.0,178.0,94.81,4.76,0.0,241.25,251.14999999999998,"M.S. 177 prepares students to be critical thinkers, effective problem solvers, and powerful communicators in a rapidly changing 21st century world. By embracing academic rigor, student voice, collaboration, self-direction, and empathy, our students will have the confidence, tenacity, and skills for success. We pride ourselves on our small, tight-knit community in which every adult knows every child. To do this, we utilize our small school size to provide students with individualized and small-group instruction. Our advisory periods allow for daily check-ins and the promotion of our core values that help our students build strong bonds and respectful relationships with their peers. To enhance students' love for learning, we offer enrichment classes and team sports in addition to courses such as STEM and Spanish. This approach allows students to continue exploring the different topics that might interest them and continuously grow throughout their middle school career.","1458 York Avenue, Manhattan NY 10075",ms177.org,9am-3:20pm,No,Yes,No,No,"Art (Foundations of Drawing, Watercolor, Comic Book-Making), Book Clubs, Creative Writing, Debate, Drama, Latin American Cultural Studies, Math Counts, Mock Trial, Physical Education, Poetry, Research Seminar, Sports Marketing, STEM, Technology and the Human Brain, Typing, Wildlife and Conservation",Anime ; Chess ; Chorus ; Coding and Gaming ; Comedy Club ; Cooking ; Debate ; Film-Making ; GSA ; Nature Club ; Newspaper ; Photography ; Robotics ; Runway Fashion ; SHSAT Prep ; Spa Science ; Student Council ; Theater,"Baseball, Cheerleading, Dance, Gymnastics, Martial Arts, Soccer, Step, Ultimate Frisbee, Ultimate Handball, Yoga",10075.0,40.770419,-73.951135,12.2
02M217,K-8,1999,Manhattan,Roosevelt Island,M,2,P.S./I.S. 217 Roosevelt Island,2018,617,51.4,48.6,28.999999999999996,13.5,14.3,7.000000000000001,36.3,13.600000000000001,13.900000000000002,33.1,178.0,95.12,4.88,0.0,244.55,250.25,"At 217, we pride ourselves on being a ""big city school with a small-town feel."" Our small class sizes allow the teachers to get to know students on a deeply personal level. In addition, subject area teachers follow the same group of students through sixth, seventh, and eighth grades, which provides the students with the opportunity to interact with teachers academically and socially throughout middle school. Our families appreciate the support they receive during their child's transition from elementary school to middle school. We offer a wide array of opportunities for students to explore their non-academic interests during the school day. We also provide academic enrichment throughout the year. We have a modern building that is open, clean, and bright. Our hallways are lined with flags representing the countries of our many international students and families. Our state-of-the-art facilities offer updated computer labs, and ActiveBoards in every classroom.","645 Main Street, Manhattan NY 10044",217pta.com,8:25am-2:45pm,No,Yes,No,Yes,"Computers, Music Theory, STEM, Theater",Academic Field Trips ; Art of Filmmaking Club ; Band ; Coding Club ; Forensics Club ; Literary Magazine ; Main Street Theater: Improv Workshop ; Partnership with Cornell Tech ; Positive Behavior Intervention Support (PBIS): Academic and Community Building Trips and Activities ; Running Club ; Salvadori Center: Urban Architecture Program ; Tennis Club ; Urban Advantage Science Program ; Weekly Advisory ; Yearbook Club,"Basketball, Wrestling",10044.0,40.763894,-73.947916,15.3
02M225,K-8,1999,Manhattan,Upper East Side,M,2,Ella Baker School,2018,324,48.1,51.9,5.9,15.1,30.599999999999998,9.3,39.2,18.8,1.5,28.1,178.0,93.17,6.83,0.0,223.95000000000002,248.35,"The Ella Baker School is a pre-K-8 public school located on the Upper East Side of Manhattan in the Julia Richman Education Complex. We are a non-catchment area school and accept students from all five boroughs. We serve a population of approximately 320 students from culturally diverse backgrounds. A critical aspect of Ella Baker’s mission is to provide continuity in each child’s school experience from kindergarten through eighth grade. It is our expectation that our students will continue with us through the eighth grade. We do not hold middle school tours, as it is rare that there are spots open in the upper grades.","317 East 67th Street, Manhattan NY 10065",www.ellabakerschool.net,8:30am-2:50pm,No,No,No,No,,,,10065.0,40.765359000000004,-73.960059,13.0
02M255,Junior High-Intermediate-Middle,2000,Manhattan,Gramercy,M,2,M.S. 255 Salk School of Science,2018,394,58.4,41.6,18.3,2.0,9.6,8.1,61.9,15.7,0.3,14.2,178.0,97.2,2.54,0.0,279.55,280.09999999999997,"Students appreciate that our curriculum provides them with opportunities for critical thinking and inquiry. They also appreciate our warm, friendly community. Parents appreciate the nurturing and challenging environment of our school. We have a strong focus on science and have many partnerships with science and cultural institutions as well as the New York University (NYU) School of Medicine.","319 East 19th Street, Manhattan NY 10003",salkschool.org,8am-2:20pm,No,No,No,No,"Art, Book Club, Chess, Community Service, Creative Writing, Debate, Digital Photography, Drama, Environmental Club, Film Critique, Garden Club, Puzzle Master, Salk Striders, Sports",Manhattan Youth After-School Program: Art ; Chess ; Coding ; Computer Animation ; Cooking ; Debate Team ; Drama ; Filmmaking ; Forensic Science Club ; Guitar ; LEGO Robotics ; Music Video ; Musical Theater ; Science Explorers ; Sports ; Video Game Design,"Baseball, Basketball, Flag Football, Soccer, Tennis, Track and Field, Volleyball",10003.0,40.735161,-73.982027,16.2
02M260,Secondary School,2000,Manhattan,Chelsea-Union Sq,M,2,The Clinton School,2018,726,68.0,32.0,12.7,4.0,12.4,7.3,63.6,16.7,0.3,16.0,179.0,92.4,3.73,3.59,,,"The Clinton School for Writers & Artists is close-knit and collaborative community. Students who succeed thrive in a small, academically rigorous school. We are in our own new construction building off of Union Square, at 10 East 15th Street. This facility has an 8,500 square foot gym, an outdoor roof play space, a modern library, science labs, and studios for music and art. The middle school has its own separate space on the upper floors, with separate start and dismissal times, but we are one school with one administration. The upper grades program culminates in the International Baccalaureate Diploma Program. Students who are admitted into our middle school have the option of staying with us for the full seven years. The middle school has a comprehensive, free after-school program through our partnership with Manhattan Youth.","10 East 15th Street, Manhattan NY 10003",theclintonschool.net,8:10am-2:30pm,No,Yes,Yes–Academic support for certain students,No,"Performing Arts, Spanish, Visual Arts",Clinton Post (School Newspaper) ; Clinton Soup (Literary Magazine) ; National Junior Honor Society ; School Musical ; Student Council ; Technology ; Theater for a New Audience ; Whitney Museum,"Basketball, Cross Country, Flag Football, Soccer",10003.0,40.736518,-73.992725,15.0
02M276,K-8,2009,Manhattan,Battery Park City,M,2,Battery Park City School,2018,849,47.3,52.7,20.3,4.0,13.699999999999998,9.4,52.7,18.4,3.2,15.1,178.0,95.53,4.47,0.0,259.0,258.8,"Students appreciate our teachers' energy and enthusiasm for the subjects they teach, as well as their accessibility—teachers are always happy to provide additional support in academics or to help students work through problems. Parents appreciate the values we place on building traditional academic and critical-thinking skills. Our curriculum integrates learning about a range of issues and provides students with a structured forum for taking action to make the world a better place for all. All eighth graders take Algebra 1. Students at P.S./I.S. 276 have the opportunity to build leadership through participation in sports teams, student government, and community service. Students can graduate with distinction in Academics, Service, Arts, and Athletics. Through all this work, parents recognize that we pay close attention to each student's academic, social, and emotional well-being.","55 Battery Place, Manhattan NY 10280",bpcschool.org,8:25am-2:45pm,No,No,No,No,"Advanced Spanish (with the opportunity to earn HS credit), Art, Band, Chorus, Debate, Newspaper, Yearbook",Advisory ; Chess ; Community Service ; Competitive Intermural Sports ; Environmental Science Club ; National Junior Honor Society ; Robotics ; Science Fair ; Student Government,"Baseball, Basketball, Football, Soccer, Softball, Table Tennis, Track and Field, Volleyball",10280.0,40.70644,-74.017818,13.9
02M289,Junior High-Intermediate-Middle,1998,Manhattan,Battery Park City,M,2,I.S. 289,2018,284,44.0,56.00000000000001,48.6,4.2,14.800000000000002,2.8,29.600000000000005,22.9,4.9,52.800000000000004,178.0,96.82,2.83,0.0,252.5,253.1,"At I.S. 289, students engage in many interdisciplinary and collaborative projects. Additionally, I.S. 289 has an exciting and enriching after-school program on-site that includes sports, academic support, arts, and technology classes. Parents appreciate the small size of the school and easy access to staff. The school has high expectations for all students, accompanied by high levels of support.","201 Warren Street, Manhattan NY 10282",is289.org,8:30am-2:50pm,No,Yes–After-School,No,No,"Instrumental Music, One-to-One Academic Coaching, Science Club",Advisories ; Drama ; GSA ; Robotics Team ; Visual Arts,"Basketball, Ping Pong, Soccer, Track and Field, Volleyball",10282.0,40.716668,-74.013542,15.4
